"id","studentId","stats","avatar","weekChlId","knowledgeLvl","weekChlScore","weekChlWinner"
17,846,"{""c"":[0.3,0.86,0.72,0.72,0.72,0.58,0.72,0.86],""m"":[[52.65,135,6,140],[435.43,2734,19,2752],[44.92,295,6,301],[10.79,80,4,84],[8.75,65,5,68],[8.16,51,5,56],[14.4,90,7,94,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[116.96,51.25,3,52],[66.42,25.75,1,26],[0,0.25,7,2],[1.64,1,0,1],[0.76,0.5,2,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[9.62,37,3,39],[9.88,38,4,40],[7.54,29,0,29],[8.84,34,2,36],[10.14,39,7,42],[13,50,15,63,0.26],[0,0,0,0,0]],""d"":20500}","k40350023",759,1,"0.00",0
18,853,"{""c"":[0.01,0.71,0.72,0.86,0.72,0.72,0.72,0.86],""m"":[[0,0,0,0],[25.4,195,9,204],[15.86,122,10,131],[34.06,224,14,235],[13.74,118,9,125],[21.26,146,354,160],[26.13,179,12,187,0.15],[0,0,0,0,0]],""t"":[[0,0,0,0],[10.12,7,12,10],[2.13,2,4,3],[13.11,10.75,5,12],[1.64,1.5,2,2],[4.68,2,0,2],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[5.72,22,2,24],[3.38,13,3,15],[3.9,15,0,15],[8.58,33,3,36],[13.52,52,1,53],[10.92,42,8,48,0.26],[0,0,0,0,0]],""d"":20500}","g68110913",759,1,"0.00",0
19,844,"{""c"":[1,1,1,1,1,1,0.86,1],""m"":[[878.46,5443,100,5539],[511.18,2946,47,2988],[147.64,894,13,904],[59.66,391,7,398],[295.47,1728,8,1736],[655.18,3714,30,3743],[401.38,2272,170,2286,0.16],[2.16,12,0,12,0.18]],""t"":[[0,0,0,0],[0,0.5,25,4],[2.3,2.75,46,7],[1.31,2,20,6],[22.6,19,8,21],[3.04,1,0,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[18.92,33,0,33],[5.98,23,5,26],[6.24,24,13,34],[4.68,18,0,18],[23.4,90,4,94],[5.72,22,5,24],[13.26,51,14,64,0.26],[0,0,0,0,0]],""d"":20500}","j11180333",759,1,"1.00",0
20,840,"{""c"":[0.01,0.71,0.72,0.58,0.72,0.72,0.72,0.86],""m"":[[0,0,0,0],[6.72,144,7,150],[7.02,54,10,60],[30.17,208,20,225],[17.22,281,16,297],[12.42,108,6,112],[18.76,160,15,175,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[1.52,1,4,2],[1.64,1,0,1],[1.31,1,0,1],[3.58,2,0,2],[3.04,1,0,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[5.2,20,7,24],[4.42,17,5,20],[3.38,13,2,15],[6.5,25,4,29],[7.8,30,4,34],[4.94,19,14,30,0.26],[0,0,0,0,0]],""d"":20500}","w63060003",759,1,"0.00",0
21,858,"{""c"":[0.01,0.71,0.72,0.72,0.72,0.43,0.72,0.86],""m"":[[0,0,0,0],[14.04,108,2,110],[10.66,82,12,90],[12.15,183,1,184],[21.66,153,4,157],[8.32,52,2,54],[102.26,889,30,916,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[4.55,2.25,3,3],[4.04,3,4,4],[6.62,4.5,2,5],[7.38,5.25,3,6],[9.6,5.5,2,6],[3.28,2,0,2],[0,0,0,0,0]],""g"":[[0,0,0,0],[8.58,33,2,35],[5.2,20,2,22],[5.98,23,1,24],[6.5,25,2,27],[0,0,0,0],[9.62,37,2,39,0.26],[0,0,0,0,0]],""d"":20500}","028062443",759,1,"0.00",0
22,849,"{""c"":[0.01,0.57,0.3,0.44,0.72,0.58,0.72,0.86],""m"":[[0,0,0,0],[6.11,47,2,49],[4.68,36,4,39],[4.73,35,3,38],[12.47,134,2,136],[9.53,68,7,74],[16.32,102,9,111,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[4.56,2,22,5],[1.64,1,0,1],[1.31,1,4,2],[1.64,1,0,1],[3.04,1,0,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[4.94,19,5,22],[0,0,0,0],[1.82,7,1,8],[6.24,24,1,25],[3.9,15,4,17],[13,50,28,62,0.26],[0,0,0,0,0]],""d"":20500}","880082ba6",759,1,"0.00",0
23,856,"{""c"":[0.72,0.86,0.86,1,0.72,0.57,0.58,0.86],""m"":[[200.68,2242,35,2276],[56.48,632,19,650],[70.44,810,26,835],[58.05,699,21,716],[28.79,192,12,203],[72.72,516,9,525],[35.05,235,19,253,0.16],[0,0,0,0,0]],""t"":[[33.57,29.75,1,30],[3.86,2,4,3],[11.28,7.75,1,8],[7.5,4.5,2,5],[4.55,2.75,1,3],[2.86,2.5,2,3],[0,0,0,0],[0,0,0,0,0]],""g"":[[11.7,45,3,48],[13.26,51,8,57],[11.96,46,7,52],[4.16,16,3,19],[12.22,47,1,48],[16.12,62,1,63],[6.5,25,5,30,0.26],[0,0,0,0,0]],""d"":20500}","943013b41",759,1,"0.00",0
24,855,"{""c"":[0.15,1,0.86,0.72,0.86,0.86,1,1],""m"":[[1.15,83,8,88],[14.75,291,59,336],[19.4,158,28,178],[14.4,147,19,161],[27.67,235,26,256],[57.37,672,47,708],[283.57,2231,120,2339,0.16],[27.12,714,37,751,0.04]],""t"":[[0,0,0,0],[7.86,7.75,31,13],[6.56,4.25,3,5],[2.03,2.5,7,4],[0,0.5,2,1],[7.32,5.5,22,10],[56.4,39.25,33,50,1.64],[0,0,0,0,0]],""g"":[[0,0,0,0],[11.18,43,13,51],[8.84,34,10,40],[7.28,28,1,29],[37.96,146,17,161],[16.84,64,7,70],[40.08,148,53,184,0.26],[3.64,14,2,16,0.26]],""d"":20501}","c45260614",759,1,"18.00",3
25,839,"{""c"":[0.44,0.86,0.72,0.72,1,0.86,0.58,0.86],""m"":[[67.44,216,20,233],[18.72,144,11,155],[60.37,439,28,463],[44.85,336,14,348],[114.98,732,30,757],[89.96,564,18,581],[155.36,971,82,1046,0.16],[0,0,0,0,0]],""t"":[[49.73,14.5,2,15],[31.1,20.5,2,21],[3.86,1.75,1,2],[7.21,6,4,7],[1.64,1,0,1],[32.52,25.25,7,27],[0,0,0,0],[0,0,0,0,0]],""g"":[[0.52,2,0,2],[8.58,33,4,36],[9.36,36,2,38],[7.8,30,1,31],[10.66,41,5,46],[19.5,75,0,75],[7.28,28,2,30,0.26],[0,0,0,0,0]],""d"":20500}","m17280223",759,1,"13.00",0
26,845,"{""c"":[0.15,0.71,0.72,0.72,0.58,0.58,0.72,0.86],""m"":[[0,0,0,0],[15.66,186,7,193],[16.13,116,4,120],[6.43,46,1,47],[7.7,56,0,56],[21.22,125,8,132],[24.91,182,6,188,0.14],[0,0,0,0,0]],""t"":[[0,0,0,0],[6.07,2,4,3],[1.64,1,0,1],[0.66,0.75,5,2],[1.64,1,0,1],[3.04,1,0,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[4.38,6,1,7],[24.18,93,7,100],[8.32,32,1,33],[5.98,23,1,24],[9.62,37,3,40],[13.26,51,1,52],[6.76,26,8,32,0.26],[0,0,0,0,0]],""d"":20500}","m41050090",759,1,"0.00",0
